doc_id,wikipedia_movie_id,movie_name,release_date,text,true_topic,y_outcome,lda_topic,lda_topic_prob
1,24658454,Madame Butterfly,1932,"At Goro's Tea House we are introduced to Cho-Cho San  who is bidding farewell to her mother and grandfather. She is about to undergo training as a geisha in exchange for money that will support her family. After the relatives leave, Goro introduces Prince Yamadori, a prospective husband, to Cho-Cho San. When Yamadori finds her withdrawn, Madame Goro explains explains that Cho-Cho San is high-born and is not yet used to the geisha life style. Meanwhile, on board an American steamship due to arrive in Japan for several month's stay, Lieutenant Barton  convinces his friend Lieutenant Ben F. Pinkerton  that once they arrive to skip the American Counsul's party and plan to enjoy themselves instead. Pinkerton looks at a photograph of a blonde woman inscribed to him 'from Adelaide' and hides it in his clothing trunk. Back at Goro's, Mrs. Goro prepares Cho-Cho San for another meeting with Yamadori by dressing her more elegantly. Meanwhile, Pinkerton and Barton enter Goro's, and are greeted by geishas. They are seated and watch a performance of dancing and music played by the geishas, and begin to become intimate with them. Goro interrupts so Pinkerton wanders to a different room and, through a screen, sees a dancing silhouette. Entering further, he discovers Cho-Cho San practicing her dancing. Despite Goro's admonishment, he is immediately enchanted with Cho-Cho San who runs away to the garden in fear. Pinkerton catches up to her and they talk. Yamadori comes to meet Cho-Cho San again. Goro pretends she is indisposed but a neighboring geisha reveals that she is with a naval officer. Infuriated, Yamadori vows never to set foot in Goro's house again. This makes Goro angry at Cho-Cho San, since Yamadori was Goro's best client. Goro threatens to shame Cho-Cho San's family because she has been disobedient. Pinkerton asks Goro to explain why he is so angry, and Goro tells him that Cho-Cho San was supposed to marry Yamadori. Barton takes Pinkerton aside and tells him that ""marriage"" to Japanese is just a formality: when husbands desert the geishas can automatically be considered divorced. Realizing how easy the situation is, Pinkerton informs Goro of his intention to marry Cho-Cho San. Cho-Cho San's relatives assemble at the couple's new house, and the marriage takes place as a tea ceremony. Afterwards, Cho-Cho San prays at her home altar, adorned with a picture of her ancestors. Pinkerton asks Barton to send the relatives away, while he gets to know Cho-Cho San better and shows her how to kiss. Several days later, Pinkerton arrives home where Cho-Cho San greets him with honors. He gives her a translucent veil. She offers him drink and a pipe to smoke. He asks for a change of pants and Cho-Cho San obliges. While searching for the pants within Pinkerton's trunk, Cho-Cho San discovers the picture inscribed to Pinkerton by a blonde woman . With a serious face, she brings it to Pinkerton and asks if he is in love with that woman. He denies it; she embraces him, happy again, but he maintains a serious face. Several weeks later, the home altar now shows a picture of Pinkerton. Cho-Cho San happily receives Pinkerton and Barton. In an aside to Barton, Pinkerton explains that he hasn't had the courage to tell Cho-Cho San that he's leaving the following day. Barton suggests they all have dinner at the hotel. While eating, the commander of the naval vessel visits the table, mentioning they are due to leave tomorrow. Cho-Cho San is taken aback. Returning home, Cho-Cho San is upset, so Pinkerton sings to her ""My Flower Of Japan."" The following day Pinkerton is leaving but asks Cho-Cho San not to see him off at the dock. Cho-Cho San asks about the girl in the picture but Pinkerton says he loves only Cho-Cho San and promises to come back in the spring. ""When the robins nest again?"" asks Cho-Cho San and Pinkerton affirms. The scene cuts to the next spring, and Butterfly happily holds her infant son. She points out that a robin has nested and speaks to her son, revealing his name as ""Trouble"" for now, but when Pinkerton returns, it will be changed to ""Joy."" The scene cuts to a robin building a nest. It is in the garden of a house owned by Pinkerton and the woman, Adelaide, from the photograph. A ring on the fourth finger of her left hand indicates that she is engaged. She remarks that it is now spring to Pinkerton who looks troubled. In response, she mentions that ever since he's returned from Japan he has been different. He offers to tell her something that might upset her and she agrees. The scene ends. In Cho-Cho San's home, her grandfather asks her to marry Yamadori, but Cho-Cho San explains that, unlike in Japan where desertion is ground for divorce, in the United States divorce can only be affected by a judge after a period of years. He asks her to return home, if only for the sake of the child, but she rejects her grandfather's ways, saying that she and the entire house belong to Pinkerton. Angrily, her grandfather disowns her and asks that she never enter his house again. Meanwhile, Pinkerton and his newly married wife Adelaide walk down the marriage aisle to the strains of Mendelssohn's music and rice being thrown by guests. Back in Japan, Cho-Cho San remarks that the robins have nested three times. She goes to see the American consul and asks about the nesting habits of American robins. Understanding what has happened, he explains that, in the United States, they nest only once in three years. Relieved, Cho-Cho San leaves happily. The consul sends a telegram to Pinkerton asking him to come. Meanwhile, Cho-Cho San goes to a temple to pray. Cho-Cho San sees a naval ship in the distance and is overjoyed at Pinkerton's imminent return, explaining it to her son. At the ship dock, Pinkerton arrives with Barton and is met by Adelaide. Barton mentions that the Consul will be having a party that night, and Pinkerton thinks that's why he sent the telegram. Cho-Cho San suggests to Suzuki that they surprise Pinkerton: Suzuki will be with Trouble in the next room and only bring him out at Cho-Cho San's clap. They sit down by the window to watch for Pinkerton's approach. Suzuki and Trouble fall asleep, but Cho-Cho San continues to watch all night through the morning. Suzuki wakes and encourage Cho-Cho San to go to bed. Dejected, she still believes Pinkerton will come, despite Suzuki's warnings that ""men always forget."" In their hotel room Pinkerton explains the situation to his Adelaide. She suggests that once he talks with Cho-Cho San, all will be cleared up. He asks her to accompany him and she assents. Pinkerton and Adelaide arrive at Cho-Cho San's house. He asks Adelaide to wait. He goes up to the house and is greeted by a wildly happy Cho-Cho San. Her happiness turns serious as he explains that he must leave soon and is never coming back. Cho-Cho San sees a woman waiting, and realizes that Pinkerton has married another woman - the woman she had seen in the picture. In tears, she bids him goodbye. Crying, she tells Trouble that his father has taken another woman, while Trouble fidgets with an ancestral heirloom, a knife. She then tells Suzuki to take Trouble to his grandfather who will raise Trouble ""in the ways of his ancestors."" She tells Suzuki she will follow after she prays. As she prays, she recalls the American marriage vow ""till death do us part."" She unsheathes the knife and sees the inscription ""To die with honor when one can no longer live with honor."" Wrapping the veil Pinkerton gave her around her neck, she stabs herself. Her dying words are ""I love you for always.""",drama,0,0,0.7900631747341837
2,10977,Fearless,1993-10-15,"While taking a business trip, Max Klein  survives a crash of a flight headed from San Francisco to Houston. As the plane was descending, Max inexplicably became at peace when he accepted he was going to die. The revelation coaxed him to take it upon himself to comfort many of the fearful passengers, even moving to sit next to Byron Hummel , a young boy flying alone. The psychological trauma of the experience transforms his personality and he enters an altered state of consciousness, rethinking his life and becoming preoccupied with existential questions of life and death. Immediately after the crash, Max, one of the plane's few survivors, rents a car and drives from the crash site in Bakersfield to Los Angeles, stopping on the way to see his old high school sweetheart, Alison , whom he hadn't visited in 20 years. During their meal at a restaurant, Alison notices Max eating a strawberry and inquires about his allergy to them. Max grins and explains he's ""gotten past"" his allergic reaction and confidently finishes it with no problems. He's tracked down at a hotel room the next morning by F.B.I. agents who question his odd choice to not contact his wife and family or remain at the crash site with the other survivors. The airline sends a representative who compensates him with train tickets to go home to San Francisco. Max declines the tickets, stating adamantly that he wants to fly home and has no fear of air travel anymore. On the flight, he meets Dr. Bill Perlman , an airline-contracted psychiatrist who offers to counsel Max for post-traumatic stress disorder. Dr. Perlman accompanies Max back to his home where his wife Lauren  begins noticing his strange behavior. Max matter-of-factly informs Nan Gordon ([[Deirdre O'Connell , the wife of his friend and business partner, that her husband Jeff  died in the crash. The media dubs Max ""The Good Samaritan"" and tries to interview him as Byron comes to publicly thank him for the way he comforted the passengers during the crash, but Max avoids making a statement. Over time, Max becomes distant from Lauren and his son Jonah  because of his preoccupation with his near death experience. He comes to think of himself as invulnerable to death, causing Dr. Perlman to become concerned with Max's delusion. Perlman encourages Max to meet with another survivor, Carla Rodrigo  in the hopes that the two can help support one another. Carla, who lost her baby son in the crash, struggles with survivor's guilt, punishing herself for not holding onto him tightly enough when his seat belt on the plane malfunctioned. Max and Carla bond and develop an intimate friendship as he helps her to get past her depression and free herself from her guilt. Max, Lauren, and Nan meet with attorney Steven Brillstein , who encourages Max to exaggerate his testimony in order to increase Nan's compensation settlement offer from the airline. Max states his discomfort with lying but reluctantly agrees when he considers Nan's financial predicament as a widow. The unease of lying causes Max to have a panic attack and he runs out of the office to the roof of the building where he climbs onto the ledge. As Max stands on the ledge, looking down at the streets below, his panic attack subsides and he rejoices in his fearlessness. Lauren follows Max onto the roof and upon finding him, believes him to be suicidal. Eventually Max's increasingly dramatic attempts at pushing the boundaries between life and death succeed in jolting Carla from her uncertain state. However, after parting company with Carla, Max remains distant in his relationship with his wife and son. Brillstein arrives at the Klein home to celebrate the pending settlement offer, and brings a basket with an assortment of fruits. Max eats one of the strawberries but, unlike in the restaurant, this time experiences an allergic reaction and suffocates. As he lay choking, Max accepts the reality of his death when suddenly he's resuscitated by Lauren. He survives and  recovers his emotional connection to his family and to the world.",action,1,5,0.9968136017148584
3,16141547,The Scoundrel's Wife,2002,"It tells the story of a woman suspected of being a saboteur, who struggling to raise two children in a small village during World War II. This film is a period drama which takes place in Louisiana at the beginning of U.S. entry into World War II. A certain military is looking for the Germans who are sinking America's ships off the coast and fishermen who are trading goods.",drama,0,1,0.3878244362408028
4,26723019,Kangaroo,1952,"An Australian ""Western"" set at some vague time perhaps a century ago. Richard Connor  is a desperate young man in Sydney, Australia, trying to find the money to return home. While staying at a boarding house, he is mistaken by the drunk Michael McGuire  for his long-lost son, Dennis, whom McGuire had abandoned to an orphanage as a child, a deed for which he now deeply blames himself. Later that night, Connor attempts to rob John Gamble  outside a gambling house, but after he finds him equally broke, he is talked into assisting him in robbing the establishment, during which the owner is shot. Connor and Gamble make off with the loot, stopping at the boarding house to get Connor's gear, whereupon McGuire, still drunk, pursues his ""son"" down the street until he collapses. They find on him information on his extensive station  and his boat ticket, and decide to pose as his business partners to get on the boat and away to hide out with him in the Outback. The next day, the now sober McGuire does not remember anything, and is at first suspicious of them, until he finds he has the ₤500 they claimed to have paid him for cattle . Along the way  they subtly drop hints that Connor  may be his lost son, without letting on that McGuire himself had talked about him, in this way hoping to gain possession of the station. Arriving at the station, they are both smitten by his daughter Dell , but held in some suspicion by the local trooper Len, who has been Dell's local beau. Gamble does his best to scotch a budding attraction between Dell and Connor, because it will spoil the plan to pass him off as her lost brother. Biding their time both to develop their plan and hide out from the law, they end up helping the station get back on its feet, rescuing stray cattle, heading off a stampede, and culminating in a daring repair of an out-of-control windmill during a windstorm. McGuire is finally convinced that Connor is his son, and seeing the romantic interest of his daughter in him, tells her his conclusion. Overhearing her despair at this news, Connor feels he must confess, and Gamble sees their plan fail on the brink of success because of the annoying conscience of his partner. Having confessed not only to not be Dennis, but to be wanted in the murder of the gambling house owner, Connor and Gamble flee the station, with trooper Len in hot pursuit. When he catches up to them, Gamble is about to shoot him when Connor pulls the gun away with a bullwhip. The two partners in crime now have a vicious bullwhip fight. Gamble retrieves the gun and shoots at Connor, but Len fatally shoots Gamble. Len then takes Connor back the McGuire station, where he recovers from his injuries, being promised clemency for saving Len's life, and with the promise of a future with Dell.",drama,0,0,0.9948043056861241
5,5483227,The Ladykillers,2004-03-26,"Mrs. Marva Munson , an elderly, God-fearing widow meets Professor Goldthwaite Higginson Dorr , who expresses his interest in the room she has to let and asks to use her basement for rehearsals of an early music ensemble he directs. She accepts the terms and agrees. The fellow musicians in the pretend ensemble are actually a gang of criminals, named Lump , The General , Garth Pancake , and Gawain . With all of their talents combined, the group of criminals plan to dig a tunnel through the crumbling, dried earth that has piled up in Mrs. Munson's basement and conclude that they will emerge in the vault of the casino. After a series of comical mishaps that threaten to derail their plan, they break through the wall of the vault and snatch the loot. Mrs. Munson subsequently finds out what her tenant has done, and outraged, she tells Dorr to return the money and go with her to church on Sunday or else she will call the police. The gang decides to murder her. Through another series of comical mishaps, all the criminals end up dying while trying to kill Mrs. Munson. Gawain is shot by Garth, Garth is strangled by The General, The General falls and breaks his neck, Lump accidentally shoots himself, and Dorr gets hanged by his coat after being hit with a statue head. The police refuse to believe her story about the robbery, and tell her to keep the money she found, which she gives to Bob Jones University.",comedy,0,2,0.6434276624667165
6,32960328,Baat Ban Jaye,,"Baat Ban Jaye is a comedy, featuring Sanjeev Kumar, Utpal Dutt, Raj Babbar, Zeenat Aman, Amol Palekar, Aruna Irani and Shakti Kapoor. Zeenat Aman plays Nisha, a wealthy businesswoman who wants to marry a poor and honest man. Her uncle, played by Utpal Dutt, tries to find a suitable match for her, with hilarious results.",action,1,1,0.8540931648799397
7,1349086,The Departed,2006-09-26,"Colin Sullivan  is introduced to organized crime by Irish-American mobster Frank Costello  in the Irish neighborhood of South Boston. Costello trains him to become a mole inside the Massachusetts State Police. Sullivan is accepted into the Special Investigations Unit, which focuses on organized crime. Before he graduates from the police academy, Billy Costigan  is asked by Captain Queenan  and Staff Sergeant Dignam  to go undercover, as his family ties to organized crime make him a perfect infiltrator. He drops out of the academy and does time in prison on a fake assault charge to increase his credibility. As both infiltrate their respective organizations, Sullivan begins a romance with psychiatrist Madolyn Madden . Costigan sees her for his probation and also develops a relationship with her. After Costello escapes a sting operation, both moles become aware of the other's existence. Sullivan is told to find the ""rat"" and asks Costello for information to determine who is the informer within his crew. Costigan follows Costello into a movie theater where Costello gives Sullivan an envelope containing personal information on his crew members. Costigan then chases Sullivan through Chinatown. When it is over, neither man knows the other's identity. Sullivan has Queenan tailed to a meeting with Costigan. Costello's men go in and Queenan is killed. When they exit, Costigan pretends he has come to join them. Later, Costello's henchman, Fitzgibbons , reveals that Delahunt , a crew member, was an undercover cop. Dignam is forced to step down as a consequence. Using Queenan's phone, Sullivan reaches Costigan, who refuses to abort his mission. Sullivan learns of Costello's role as an informant for the Federal Bureau of Investigation from Queenan's diary, causing him to worry about his identity being revealed. With Costigan's help, Costello is traced to a cocaine drop-off, where a gunfight erupts between his crew and police, resulting in most of the crew being killed. Costello, confronted by Sullivan, admits he is an occasional FBI informant. Sullivan then shoots him multiple times. With Costello dead, Sullivan is applauded the next day by everyone on the force. In good faith, Costigan comes to him for restoration of his true identity, but notices the envelope from Costello on Sullivan's desk and flees. Knowing he has been found out, Sullivan erases all records of Costigan from the police computer system. Madolyn tells Sullivan that she is pregnant, but does not reveal who the father is. Later, she discovers a package from Costigan containing a CD with recordings of Costello's conversations with Sullivan. Sullivan walks in as she is listening and tries unsuccessfully to assuage her suspicions. He contacts Costigan, who reveals that Costello recorded every conversation he had with Sullivan. Costello's attorney left Costigan in possession of the recordings and he intends to implicate Sullivan. They agree to meet at the building where Queenan died. On the roof, Costigan catches Sullivan off-guard and handcuffs him. As Costigan had secretly arranged, Officer Brown appears on the roof as well. Shocked, Brown draws his gun on Costigan, who attempts to justify his actions by exposing Sullivan as the rat. Costigan asks Brown why Dignam did not accompany him, but Brown does not answer. Costigan leads Sullivan to the elevator. When it reaches the ground floor, Costigan is shot in the head by Officer Barrigan, who then shoots Brown and reveals to Sullivan that Costello had more than one mole in the police. When Barrigan turns, Sullivan shoots him in the head. At police headquarters, Sullivan identifies Barrigan as the mole and has Costigan posthumously given the Medal of Merit. At Costigan's funeral, Sullivan and Madolyn stand at the grave. Sullivan attempts to talk to her, but she ignores him. When Sullivan enters his apartment, Dignam, wearing hospital footies and surgical gloves, shoots him in the head with a silenced pistol.",action,1,2,0.5689874939141611
8,14058109,The Strange Case of the End of Civilization as We Know It,1977-09-18,"The film begins aboard a luxury aircraft as Dr. Gropinger   travels on a goodwill tour. He misplaces his diary and is thrown into a panic as, without the diary, he no longer knows where he is or is supposed to be next. Stepping off the plane, he is shot dead after extending erroneous greetings to a congregation of Arabs. Soon after, the U.S. President  receives a threatening letter signed only ""Moriarty"", claiming responsibility for the death. The letter also claims Moriarty has set in motion a plan that will allow him to gain control of the world. The president dispatches a top agent to London to work with the world's top law enforcement officials and find a strategy to combat Moriarty. Headed by an incompetent Englishman , the committee settles on contacting the ""present-day"" Sherlock Holmes . He is enrolled by the Commissioner of Police  to lay plans for the capture of the descendant of Moriarty before he gains control of the world. Holmes reveals himself to be a great eccentric, with an affinity for certain addictive drugs . He is accompanied by the descendant of Doctor Watson , both a medical doctor and utter fool. Unfortunately, the commissioner is murdered before leaving the Holmes' residence, his death mainly the result of Watson's rampant stupidity. The duo then proceed to Scotland Yard to discuss the situation with the committee. Before any plans can be made, much of the committee is murdered by a distant sniper. Without their help, Holmes dreams up a plan to invite all of the great detectives in the world to a party, with the hope of discovering the true identity of Moriarty. He reasons that Moriarty will be unable to pass up a chance at attacking all of them in one fell swoop. Many fictional detectives are parodied and handed gruesome deaths while Holmes and Watson wait in a suite. The murderer is revealed to be none other than an exact copy of Watson. Due to Watson's ineptitude and the impersonator's great skill in deception, Holmes is faced with a quandary in determining the real culprit .",comedy,0,0,0.4472664934085532
9,26079077,Unnikrishnante Adyathe Christmas,1989,"Sophia  has not been home since a rift with her parents over her marriage to Josekutty. Sophia's father Ittichan  and ailing mother request Unnikrishan , a close friend, to find Sophia and bring her home to them. Unnikrishnan promises the parents that he will bring Sophia home by Christmas. With the help of his old schoolmate, Parasuraman , Unnikrishnan finds Sophia. Sophia, who is working in a hotel owned by Paul Kallookkaran , claims not to know Unnikrishnan, who is also met with hostility by Paul. Unnikrishan persists, and learns that Josekutty is dead and Sophia is trapped in a dire situation. She is pretending not to know Unnikrishnan in order to protect him and herself. Unnikrishan tries to help Sophia escape, but tragedy ensues.",drama,0,0,0.5435335885219449
10,32250175,Thillaanaa Mohanambal,1968,"Sikkal Shanmuga Sundaram  is a devoted Nadeswaram player but a short tempered sensitive character. He meets Mohanambal ([[Padmini  a Bharatnatyam dancer and they both fall in love with each other. However Sundaram's ego prevents him to move further with his love when she challenges him to play a Thillana on his Nadeswaram while she will dance for it. Mohana's mother, an influential and mercenary woman wants her daughter to marry a rich man so that she can be richly settled. But Mohana who is in love with Sundaram does not obey her mother, and this creates a rift between them both. Sundaram does not understand that Mohana loves him, and not knowing she has a great devotion and love for him and his talent, he decides to leave the country along with Jil Jil Ramamani([[Manorama , a folk dancer whom he considers his sister. But Mohana provokes him, saying that he is a coward and not confident about his talent, and hence he has decided to go away. But Mohana's intention is to stop him and make him drop his decision so that she can prove her love for him and as expected Sundaram accepts the challenge and stays.In a temple, Sundaram plays the Thillana and Mohana dances for it. Since both performed at their best there was neither defeat nor success for both. Sundaram crowns Mohana ""Thillana Mohanambal"". Both Sundaram and Mohana come close because of this incident but Sundaram is stabbed with a poisonous knife by a man who is behind Mohana. Sundaram is admitted at the hospital and is cured after serious treatment. As days pass, both of them meet in a program in Thamizhisai Sangam much against Mohana's mother's wishes. Vaithy  a cunning man befriends the Maharaja of Madhanpur , who is the Chief guest of the program for his personal gains and promises to make Mohana as his mistress. Vaithy traps her saying that the Maharaja has given an opportunity for Nadaswaram and Bharatanatyam performers in his palace and Sundaram has accepted to come to Madhanpur and so, Mohana immediately accepts the offer. Both groups visit Madhanpur. Vaithy ill-treats Sundaram's group badly and Sundaram decides to leave the place. He sees Mohana visiting the Maharaja's room and mistakes her. The Maharaja compels Mohana to be his mistress but Mohana does not accept it. When he threatens her of the consequences due to her refusal, Mohana is rescued by his wife, the Maharani. Sundaram decides Mohana does not love him, in spite of her repeated denial. Depressed, Mohana runs away. But the Maharaja reveals the truth to him that, although he had compelled Mohana to be his mistress, she refused as she loved Sundaram. Sundaram realises his mistake and rushes to apologize to her. But he sees her attempting suicide by hanging herself in a from the ceiling of a locked room. He screams to her to stop and promises that he will never doubt her love again. Mohana's mother also promises her that she will unite her with her lover. Sundaram breaks open the door and saves Mohana. Both Sundaram and Mohana get happily married and Vaithy is arrested for his fraudulent crimes. This film was taken in Nagapattinam and Thiruvarur",drama,0,1,0.9948661579441961
