,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.6694447090336939,0.009590051532735894,69.80616389270972,0.0,0.6506483258898795,0.6882410921775083
C(block)[T.2],0.6948271721469383,0.012942496021381701,53.685716495415285,0.0,0.6694600390064367,0.72019430528744
C(block)[T.3],1.2557569295324142,0.012942197025074405,97.02811099997103,0.0,1.2303903824210003,1.2811234766438282
C(block)[T.4],1.8139170124376183,0.012942208208413533,140.15514070144678,0.0,1.788550443406997,1.8392835814682396
C(block)[T.5],2.3768088857396084,0.012942247505460533,183.64730582820303,0.0,2.351442239687258,2.4021755317919586
C(block)[T.6],3.03219076924732,0.012942224517500637,234.2866765405865,0.0,3.0068241682510886,3.0575573702435515
C(block)[T.7],3.775041833937644,0.012942167578081941,291.68543917873717,0.0,3.7496753445419735,3.800408323333315
C(block)[T.8],4.747736765722221,0.012942222770091816,366.8409090201852,0.0,4.722370168150889,4.773103363293553
C(block)[T.9],6.116474810892528,0.012942209722849051,472.59895658266845,0.0,6.091108238893632,6.141841382891425
C(block)[T.10],9.475858211401611,0.01294218238572864,732.1684959292995,0.0,9.450491692983135,9.501224729820088
treat,-0.006450941635261862,0.005788265389692262,-1.1144861544789728,0.26507335976390994,-0.01779587066211321,0.004893987391589487
