,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.09694130424606642,0.0033522279069688123,28.918470622041845,6.995180875187658e-184,0.09037105828043747,0.10351155021169538
C(block)[T.2],0.0024221864835170903,0.004543980406707374,0.5330539013640329,0.593996268658628,-0.00648385146008503,0.011328224427119211
C(block)[T.3],-0.0014741027960767654,0.004736310119401167,-0.3112344333278461,0.75562240801612,-0.010757100049715656,0.007808894457562126
C(block)[T.4],0.0014329141995565735,0.005027202075596578,0.28503214671085797,0.7756195134891188,-0.008420220811617727,0.011286049210730873
C(block)[T.5],-0.003167240867832743,0.005306146437700562,-0.5969003880724556,0.5505738881784905,-0.01356709678242135,0.007232615046755864
C(block)[T.6],0.0035884849966573906,0.0061609411925826404,0.5824572714600305,0.5602587144499307,-0.008486737851673833,0.015663707844988616
C(block)[T.7],0.006290110010744609,0.006542064015601844,0.9614870774336108,0.33630731993988505,-0.006532099844390487,0.019112319865879704
C(block)[T.8],0.002194068002172626,0.0079221557766258,0.27695340309340927,0.7818158859906917,-0.013333071999929884,0.017721208004275135
C(block)[T.9],0.006862647730323811,0.009486925465213557,0.7233795348648635,0.4694467408787557,-0.011731384505510659,0.02545667996615828
C(block)[T.10],0.0006543200341891371,0.013638499418865089,0.0479759549854925,0.9617354056768112,-0.026076647629956894,0.02738528769833517
treat,0.013544554658351032,0.0019434235059129948,6.9694302951162355,3.182269948949471e-12,0.009735514580052998,0.017353594736649068
baseline_activity,0.004286019529695229,0.002438742207650889,1.75747133758091,0.07883750317678571,-0.000493827364878215,0.009065866424268673
pre_metric,-0.0021607549749510027,0.002021163244397129,-1.0690650450629537,0.2850403610214278,-0.006122162140845503,0.0018006521909434978
