,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.10197405154898573,0.003673529531324165,27.759148437341686,1.3513030706254686e-169,0.09477406597144607,0.10917403712652539
C(block)[T.2],0.001153268951010903,0.004970714956062589,0.23201269056965448,0.816528157073168,-0.008589153340286369,0.010895691242308174
C(block)[T.3],-0.003197254824870873,0.005141458302406601,-0.6218575814131002,0.5340355196050965,-0.013274327925602257,0.006879818275860511
C(block)[T.4],-0.00088621775012449,0.005493324180109979,-0.16132631555466428,0.8718363979041135,-0.01165293529854307,0.00988049979829409
C(block)[T.5],-0.005764192473342994,0.005860024371909406,-0.9836465017064107,0.3252893525322248,-0.017249629190812382,0.005721244244126394
C(block)[T.6],0.002962976501549263,0.0066892219339929485,0.4429478541431193,0.6578034528190264,-0.010147657573672282,0.016073610576770807
C(block)[T.7],0.0057068352748302935,0.007316549582969808,0.7799899679643629,0.4353967801516633,-0.008633338398892083,0.02004700894855267
C(block)[T.8],0.001607497153319115,0.008854956427494164,0.1815364272519651,0.8559465433118245,-0.01574789852924091,0.01896289283587914
C(block)[T.9],0.005296142132940105,0.010446266283697917,0.5069890034494987,0.6121625343579721,-0.015178163556022887,0.025770447821903096
C(block)[T.10],-0.004387649571345804,0.015165832121539744,-0.2893114954842543,0.7723430161673244,-0.034112134325144386,0.025336835182452774
treat,0.014831215955086864,0.0020964174089486576,7.07455294531476,1.4993131580987642e-12,0.010722313336984717,0.01894011857318901
baseline_activity,0.003927730157360942,0.0026189844843142076,1.499714939468011,0.13368825903521492,-0.0012053851079641114,0.009060845422685995
pre_metric,-0.0013029204750033697,0.002186035244226137,-0.5960198850611887,0.5511619426764269,-0.005587470822621819,0.0029816298726150796
